Sender,Receiver,Ligand,Receptor,LRscore
L2-L3-eNeuron,L4-eNeuron,CADM3,LINGO1,2.3460155615456e-4
L2-L3-eNeuron,L5-eNeuron,CADM3,LINGO1,1.9130461614827216e-5
L2-L3-eNeuron,L6-eNeuron,CADM3,LINGO1,1.315602738578632e-5
L2-L3-eNeuron,L5-eNeuron,CADM3,NLGN2,1.1539284372091397e-5
L2-L3-eNeuron,L4-eNeuron,CADM3,RTN4R,1.9251036045962e-4
L2-L3-eNeuron,L5-eNeuron,CADM3,RTN4R,9.294072279661204e-6
L2-L3-eNeuron,L4-eNeuron,CADM3,SLC17A7,2.0430297568489e-4
L2-L3-eNeuron,L5-eNeuron,CADM3,SLC17A7,1.5321143071737107e-5
L2-L3-eNeuron,L6-eNeuron,CADM3,SLC17A7,1.6598749708292286e-5
L2-L3-eNeuron,L5-eNeuron,CADM3,STX1A,2.2796404726313505e-5
L2-L3-eNeuron,L6-eNeuron,CADM3,STX1A,3.187513486801245e-5
L2-L3-eNeuron,L5-eNeuron,CADM3,SV2A,6.003154667810591e-6
