Sender,Receiver,Ligand,Receptor,LRscore,all
Malignant,Stroma,LAMB2,ITGB4,6.44834040757015,Malignant_LAMB2_Stroma_ITGB4
Stroma,Malignant,COMP,AMFR,9.441837440048873,Stroma_COMP_Malignant_AMFR
Macrophage,Malignant,C1QB,FPR3,5.811229028794052,Macrophage_C1QB_Malignant_FPR3
Malignant,Stroma,COL9A2,ITGAV,5.922501502735457,Malignant_COL9A2_Stroma_ITGAV
Malignant,Stroma,CD47,SIRPA,3.2963552052027127,Malignant_CD47_Stroma_SIRPA
Stroma,Macrophage,FN1,TYROBP,18.909901995625933,Stroma_FN1_Macrophage_TYROBP
Stroma,Malignant,FN1,TYROBP,17.32757759800671,Stroma_FN1_Malignant_TYROBP
Malignant,Stroma,THBS3,CD47,5.743836673527507,Malignant_THBS3_Stroma_CD47
Stroma,Malignant,COMP,PRLR,8.983664383816826,Stroma_COMP_Malignant_PRLR
Macrophage,Malignant,GRN,ADORA2A,15.143120383604098,Macrophage_GRN_Malignant_ADORA2A
Stroma,Malignant,THBS1,ERBB2,13.911978532830958,Stroma_THBS1_Malignant_ERBB2
Stroma,Malignant,COMP,ATP6AP2,10.23420324953675,Stroma_COMP_Malignant_ATP6AP2
Malignant,Macrophage,GNAS,CD9,22.82956593596425,Malignant_GNAS_Macrophage_CD9
Malignant,Stroma,SEMA3C,PLXND1,6.52242801256881,Malignant_SEMA3C_Stroma_PLXND1
Malignant,Macrophage,CD9,CD81,22.579757846643844,Malignant_CD9_Macrophage_CD81
Malignant,Stroma,CD9,CD81,23.196560776005583,Malignant_CD9_Stroma_CD81
Stroma,Malignant,COMP,CD47,7.634101809745289,Stroma_COMP_Malignant_CD47
Macrophage,Malignant,HLA-DRA,ADORA2A,17.616176646556575,Macrophage_HLA-DRA_Malignant_ADORA2A
Stroma,Macrophage,LTBP1,CD63,4.9596014841740965,Stroma_LTBP1_Macrophage_CD63
Stroma,Malignant,LTBP1,CD63,5.432328183245128,Stroma_LTBP1_Malignant_CD63
Stroma,Malignant,THBS1,IL6ST,15.185503900480589,Stroma_THBS1_Malignant_IL6ST
Stroma,Malignant,THBS1,BAMBI,16.21622530755897,Stroma_THBS1_Malignant_BAMBI
Endothelial,Macrophage,HSPG2,SDC1,11.722713632597657,Endothelial_HSPG2_Macrophage_SDC1
Malignant,Stroma,SEMA4A,PLXNB1,2.2849984333293776,Malignant_SEMA4A_Stroma_PLXNB1
Malignant,Macrophage,ARF1,CD163,8.891897390551632,Malignant_ARF1_Macrophage_CD163
Malignant,Stroma,THBS3,SDC4,9.516932160114756,Malignant_THBS3_Stroma_SDC4
Malignant,Stroma,VEGFA,ITGB1,8.923931744295865,Malignant_VEGFA_Stroma_ITGB1
Stroma,Malignant,COMP,CD44,8.579299486745812,Stroma_COMP_Malignant_CD44
Malignant,Macrophage,HLA-DRB1,ITGB2,14.640148686189596,Malignant_HLA-DRB1_Macrophage_ITGB2
Malignant,Stroma,LRPAP1,SORT1,5.204328775575189,Malignant_LRPAP1_Stroma_SORT1
Macrophage,Malignant,LYZ,PLXNA3,7.5534790483863,Macrophage_LYZ_Malignant_PLXNA3
Macrophage,Malignant,C1QA,CD44,12.568480216937225,Macrophage_C1QA_Malignant_CD44
Macrophage,Malignant,PSAP,ADORA2A,18.624611683585176,Macrophage_PSAP_Malignant_ADORA2A
Macrophage,Malignant,APOE,IFITM1,21.24839935533244,Macrophage_APOE_Malignant_IFITM1
Stroma,Malignant,LTBP1,GFRA1,4.011498130000185,Stroma_LTBP1_Malignant_GFRA1
Macrophage,Malignant,C1QA,ADORA2A,13.443342461634334,Macrophage_C1QA_Malignant_ADORA2A
Endothelial,Macrophage,ICAM3,ITGB2,5.168622140530174,Endothelial_ICAM3_Macrophage_ITGB2
Malignant,Stroma,ICAM3,ITGB2,3.63877637204562,Malignant_ICAM3_Stroma_ITGB2
Macrophage,Malignant,HLA-DMA,TYROBP,10.973814825319495,Macrophage_HLA-DMA_Malignant_TYROBP
Endothelial,Macrophage,EFNB1,ERBB2,2.1930079996328367,Endothelial_EFNB1_Macrophage_ERBB2
Stroma,Malignant,LTBP1,ERBB2,4.412832955325187,Stroma_LTBP1_Malignant_ERBB2
Malignant,Stroma,THBS3,SDC1,8.7194541588446,Malignant_THBS3_Stroma_SDC1
Endothelial,Macrophage,COL4A2,SDC1,11.071783322706366,Endothelial_COL4A2_Macrophage_SDC1
Stroma,Malignant,TIMP3,ADORA2A,11.104170086443837,Stroma_TIMP3_Malignant_ADORA2A
Malignant,Macrophage,CD47,CD163,4.861991865314324,Malignant_CD47_Macrophage_CD163
Malignant,Stroma,PODXL2,CAP1,5.79833240567661,Malignant_PODXL2_Stroma_CAP1
Malignant,Macrophage,CD9,CD163,8.694677051195129,Malignant_CD9_Macrophage_CD163
Macrophage,Malignant,ITGB2,FPR3,3.9993654447618985,Macrophage_ITGB2_Malignant_FPR3
Stroma,Malignant,LTBP1,CD151,4.651132650974308,Stroma_LTBP1_Malignant_CD151
Malignant,Stroma,PODXL2,LAMP2,6.243317489311251,Malignant_PODXL2_Stroma_LAMP2
Malignant,Macrophage,MIF,CD9,29.00852409319745,Malignant_MIF_Macrophage_CD9
Macrophage,Bcell,ITGB2,CD74,25.46438823908153,Macrophage_ITGB2_Bcell_CD74
Macrophage,Malignant,ITGB2,CD74,18.70865113112273,Macrophage_ITGB2_Malignant_CD74
Macrophage,Stroma,ITGB2,CD74,21.20814903758142,Macrophage_ITGB2_Stroma_CD74
Stroma,Macrophage,LTBP1,CD9,4.422564471833875,Stroma_LTBP1_Macrophage_CD9
